source_class,development_count
Barrett's esophagus,33
Barrett's esophagus (short segment),43
BBPS grade 0-1,517
BBPS grade 2-3,919
Cecum,808
Colon polyp(s),823
Dyed-lifted polyp(s),802
Dyed resection margin(s),792
Esophagitis LA grade A,323
Esophagitis LA grade B-D,208
Hemorrhoid(s),5
Ileum,8
Impacted stool,105
Normal z line,746
Pylorus,800
Retroflex rectum,313
Retroflex stomach,612
Ulcerative colitis grade 0-1,28
Ulcerative colitis grade 1,161
Ulcerative colitis grade 1-2,9
Ulcerative colitis grade 2,355
Ulcerative colitis grade 2-3,23
Ulcerative colitis grade 3,107
