model,true_label,predicted_label,count,row_proportion
Fine-tuned MedGemma-27B,Barrett's esophagus,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Esophagitis LA grade A,3,0.375
Fine-tuned MedGemma-27B,Barrett's esophagus,Esophagitis LA grade B-D,3,0.375
Fine-tuned MedGemma-27B,Barrett's esophagus,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ileum,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus,Other,2,0.25
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Esophagitis LA grade A,8,0.8
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Esophagitis LA grade B-D,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ileum,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Barrett's esophagus (short segment),Other,2,0.2
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Esophagitis LA grade A,42,0.525
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Esophagitis LA grade B-D,18,0.225
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ileum,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade A,Other,20,0.25
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Esophagitis LA grade A,8,0.15384615384615385
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Esophagitis LA grade B-D,41,0.7884615384615384
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ileum,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Esophagitis LA grade B-D,Other,3,0.057692307692307696
Fine-tuned MedGemma-27B,Hemorrhoid(s),Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Esophagitis LA grade A,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Esophagitis LA grade B-D,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ileum,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Retroflex rectum,1,1.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Hemorrhoid(s),Other,0,0.0
Fine-tuned MedGemma-27B,Ileum,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Ileum,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Ileum,Esophagitis LA grade A,0,0.0
Fine-tuned MedGemma-27B,Ileum,Esophagitis LA grade B-D,0,0.0
Fine-tuned MedGemma-27B,Ileum,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Ileum,Ileum,0,0.0
Fine-tuned MedGemma-27B,Ileum,Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Ileum,Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 2,1,1.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Ileum,Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Ileum,Other,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Esophagitis LA grade A,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Esophagitis LA grade B-D,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ileum,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Impacted stool,20,0.7692307692307693
Fine-tuned MedGemma-27B,Impacted stool,Retroflex rectum,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 1-2,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 2,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 2-3,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Ulcerative colitis grade 3,0,0.0
Fine-tuned MedGemma-27B,Impacted stool,Other,6,0.23076923076923078
Fine-tuned MedGemma-27B,Retroflex rectum,Barrett's esophagus,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Barrett's esophagus (short segment),0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Esophagitis LA grade A,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Esophagitis LA grade B-D,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Hemorrhoid(s),0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Ileum,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Impacted stool,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Retroflex rectum,75,0.9615384615384616
Fine-tuned MedGemma-27B,Retroflex rectum,Ulcerative colitis grade 0-1,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Ulcerative colitis grade 1,0,0.0
Fine-tuned MedGemma-27B,Retroflex rectum,Ulcerative colitis grade 1-2,0,0.0
