Unnamed: 0,barretts,barretts-short-segment,bbps-0-1,bbps-2-3,cecum,colon_polyps,dyed-lifted-polyps,dyed-resection-margins,esophagitis-a,esophagitis-b-d,hemorrhoids,ileum,impacted-stool,normal z-line,pylorus,retroflex-rectum,retroflex-stomach,ulcerative-colitis-grade-0-1,ulcerative-colitis-grade-1,ulcerative-colitis-grade-1-2,ulcerative-colitis-grade-2,ulcerative-colitis-grade-2-3,ulcerative-colitis-grade-3
barretts,0,0,0,0,0,0,0,0,2,1,0,0,0,5,0,0,0,0,0,0,0,0,0
barretts-short-segment,0,1,0,0,0,1,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0
bbps-0-1,0,0,114,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
bbps-2-3,0,0,0,114,0,110,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0
cecum,0,0,1,0,29,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
colon_polyps,0,0,0,0,0,203,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
dyed-lifted-polyps,0,0,1,0,0,17,178,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dyed-resection-margins,0,0,2,0,0,5,23,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
esophagitis-a,0,0,0,0,0,4,0,0,48,15,0,0,0,13,0,0,0,0,0,0,0,0,0
esophagitis-b-d,0,0,0,0,0,1,0,0,9,40,0,0,0,2,0,0,0,0,0,0,0,0,0
hemorrhoids,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
ileum,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
impacted-stool,0,0,0,0,0,9,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0
normal z-line,0,1,0,0,0,13,0,0,19,1,0,0,0,152,0,0,0,0,0,0,0,0,0
pylorus,0,0,0,0,0,35,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0
retroflex-rectum,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0
retroflex-stomach,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,146,0,0,0,0,0,0
ulcerative-colitis-grade-0-1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulcerative-colitis-grade-1,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0
ulcerative-colitis-grade-1-2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ulcerative-colitis-grade-2,0,0,0,0,0,63,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17,0,7
ulcerative-colitis-grade-2-3,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ulcerative-colitis-grade-3,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,8
