Unnamed: 0,barretts,barretts-short-segment,bbps-0-1,bbps-2-3,cecum,colon_polyps,dyed-lifted-polyps,dyed-resection-margins,esophagitis-a,esophagitis-b-d,hemorrhoids,ileum,impacted-stool,normal z-line,pylorus,retroflex-rectum,retroflex-stomach,ulcerative-colitis-grade-0-1,ulcerative-colitis-grade-1,ulcerative-colitis-grade-1-2,ulcerative-colitis-grade-2,ulcerative-colitis-grade-2-3,ulcerative-colitis-grade-3
barretts,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.125,0.0,0.0,0.0,0.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
barretts-short-segment,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bbps-0-1,0.0,0.0,0.8837209302325582,0.0,0.0,0.1085271317829457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077519379844961
bbps-2-3,0.0,0.0,0.0,0.4978165938864629,0.0,0.4803493449781659,0.0,0.0,0.0,0.0,0.0,0.0,0.0218340611353711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cecum,0.0,0.0,0.0049751243781094,0.0,0.1442786069651741,0.8507462686567164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
colon_polyps,0.0,0.0,0.0,0.0,0.0,0.9902439024390244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0097560975609756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dyed-lifted-polyps,0.0,0.0,0.005,0.0,0.0,0.085,0.89,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dyed-resection-margins,0.0,0.0,0.0101522842639593,0.0,0.0,0.0253807106598984,0.116751269035533,0.8477157360406091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esophagitis-a,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.6,0.1875,0.0,0.0,0.0,0.1625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
esophagitis-b-d,0.0,0.0,0.0,0.0,0.0,0.0192307692307692,0.0,0.0,0.173076923076923,0.7692307692307693,0.0,0.0,0.0,0.0384615384615384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hemorrhoids,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ileum,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
impacted-stool,0.0,0.0,0.0,0.0,0.0,0.3461538461538461,0.0,0.0,0.0,0.0,0.0,0.0,0.6538461538461539,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
normal z-line,0.0,0.0053763440860215,0.0,0.0,0.0,0.0698924731182795,0.0,0.0,0.1021505376344086,0.0053763440860215,0.0,0.0,0.0,0.8172043010752689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pylorus,0.0,0.0,0.0,0.0,0.0,0.1758793969849246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8241206030150754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retroflex-rectum,0.0,0.0,0.0,0.0,0.0,0.8333333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
retroflex-stomach,0.0,0.0,0.0,0.0,0.0,0.0394736842105263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9605263157894736,0.0,0.0,0.0,0.0,0.0,0.0
ulcerative-colitis-grade-0-1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulcerative-colitis-grade-1,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
ulcerative-colitis-grade-1-2,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ulcerative-colitis-grade-2,0.0,0.0,0.0,0.0,0.0,0.7159090909090909,0.0,0.0,0.0,0.0113636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1931818181818181,0.0,0.0795454545454545
ulcerative-colitis-grade-2-3,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0
ulcerative-colitis-grade-3,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1923076923076923,0.0,0.3076923076923077
