seed,label_key,display_label,support,tp,fp,fn,tn,sensitivity,specificity,ppv,npv,f1,mcc
42,barretts,Barrett's esophagus,8,0,0,8,2114,0.0,1.0,,0.996229971724788,,0.0
42,barretts-short-segment,Barrett's esophagus (short segment),10,1,1,9,2111,0.1,0.9995265151515152,0.5,0.995754716981132,0.1666666666666666,0.2221277545716828
42,bbps-0-1,BBPS grade 0-1,129,114,4,15,1989,0.8837209302325582,0.9979929754139488,0.9661016949152542,0.9925149700598802,0.9230769230769232,0.9193615413389092
42,bbps-2-3,BBPS grade 2-3,229,114,0,115,1893,0.4978165938864629,1.0,1.0,0.9427290836653388,0.6647230320699709,0.6850592539247865
42,cecum,Cecum,201,29,0,172,1921,0.1442786069651741,1.0,1.0,0.917821309125657,0.2521739130434783,0.3638983098663722
42,colon_polyps,Colon polyp(s),205,203,577,2,1340,0.9902439024390244,0.6990088680229525,0.2602564102564103,0.9985096870342772,0.4121827411167513,0.4223212633283337
42,dyed-lifted-polyps,Dyed-lifted polyp(s),200,178,23,22,1899,0.89,0.9880332986472424,0.8855721393034826,0.9885476314419572,0.887780548628429,0.8760743494249731
42,dyed-resection-margins,Dyed resection margin(s),197,167,4,30,1921,0.8477157360406091,0.997922077922078,0.9766081871345028,0.9846232701178884,0.9076086956521738,0.9015839773548996
42,esophagitis-a,Esophagitis LA grade A,80,48,34,32,2008,0.6,0.9833496571988248,0.5853658536585366,0.984313725490196,0.5925925925925926,0.5764740993397569
42,esophagitis-b-d,Esophagitis LA grade B-D,52,40,18,12,2052,0.7692307692307693,0.991304347826087,0.6896551724137931,0.994186046511628,0.7272727272727274,0.7211693708718835
42,hemorrhoids,Hemorrhoid(s),1,0,0,1,2121,0.0,1.0,,0.9995287464655984,,0.0
42,ileum,Ileum,1,0,0,1,2121,0.0,1.0,,0.9995287464655984,,0.0
42,impacted-stool,Impacted stool,26,17,5,9,2091,0.6538461538461539,0.9976145038167938,0.7727272727272727,0.9957142857142856,0.7083333333333333,0.7075375912542584
42,normal z-line,Normal z line,186,152,24,34,1912,0.8172043010752689,0.987603305785124,0.8636363636363636,0.9825282631038028,0.8397790055248618,0.8252270767835183
42,pylorus,Pylorus,199,164,2,35,1921,0.8241206030150754,0.998959958398336,0.9879518072289156,0.9821063394683026,0.8986301369863015,0.8935524629182104
42,retroflex-rectum,Retroflex rectum,78,13,1,65,2043,0.1666666666666666,0.9995107632093934,0.9285714285714286,0.9691650853889944,0.2826086956521739,0.3862428596049858
42,retroflex-stomach,Retroflex stomach,152,146,0,6,1970,0.9605263157894736,1.0,1.0,0.9969635627530364,0.9798657718120806,0.9785753613838444
42,ulcerative-colitis-grade-0-1,Ulcerative colitis grade 0-1,7,0,0,7,2115,0.0,1.0,,0.9967012252591896,,0.0
42,ulcerative-colitis-grade-1,Ulcerative colitis grade 1,40,0,0,40,2082,0.0,1.0,,0.9811498586239396,,0.0
42,ulcerative-colitis-grade-1-2,Ulcerative colitis grade 1-2,2,0,0,2,2120,0.0,1.0,,0.9990574929311968,,0.0
42,ulcerative-colitis-grade-2,Ulcerative colitis grade 2,88,17,10,71,2024,0.1931818181818181,0.9950835791543756,0.6296296296296297,0.966109785202864,0.2956521739130434,0.3348986677224485
42,ulcerative-colitis-grade-2-3,Ulcerative colitis grade 2-3,5,0,0,5,2117,0.0,1.0,,0.9976437323279924,,0.0
42,ulcerative-colitis-grade-3,Ulcerative colitis grade 3,26,8,8,18,2088,0.3076923076923077,0.9961832061068704,0.5,0.9914529914529916,0.380952380952381,0.3864460250616129
